"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"tauro-beta-muricholate",0.01094,-0.098071,0.17816,0.058241,-0.1594,0.087811,0.017346,-0.11137,0.026044,-0.083606,0.045471,0.00033865
"decanoylcarnitine (C10)",-0.062664,-0.037952,0.014306,-0.007882,0.050476,0.035146,-0.052325,-0.015014,0.0046507,0.0021466,-0.016246,0.010794
"N-acetylglutamine",0.013452,-0.014079,0.01443,0.0064524,-0.0057947,-0.0033296,0.0053187,-0.0048603,-0.00098436,0.01372,-0.026799,0.00093256
"N-acetyltryptophan",-0.033655,-0.010917,0.010464,0.053983,0.016348,0.034272,-0.026772,-0.014647,0.036632,0.036014,0.020754,-0.017305
"N-acetylphenylalanine",-0.026212,-0.032479,-0.038701,0.070525,0.0075918,0.018744,0.019998,0.024714,-0.027271,0.032589,-0.021458,-0.0030995
"N-acetylasparagine",0.013377,0.0044008,0.010187,0.012493,0.013573,0.012484,0.0091599,-0.020475,-0.0015834,0.019985,-0.013256,0.00066164
"glycylleucine",0.037463,-0.0014588,-0.012697,0.013859,-0.03391,-0.0092058,0.0099741,-0.030309,-0.01046,0.022823,0.011248,-0.0033993
"S-methylglutathione",-0.01973,0.01122,0.012126,-0.018526,-0.0094681,-0.0084389,-0.015009,0.013648,0.0085969,0.0035296,-0.00023942,0.00072396
"gamma-glutamyl-epsilon-lysine",0.019477,0.0051496,0.0072425,-0.01793,0.02001,-0.0054401,-0.0077851,-0.013573,0.020969,0.0035519,-0.025413,0.0041537
"1-palmitoyl-GPC (16:0)",0.031393,-0.0016411,0.013209,-0.011726,-0.0021613,0.011937,0.0094979,0.004539,-0.0073821,-0.0082779,-0.0031521,0.0040126
"N-acetylarginine",0.0089788,-0.0042687,0.0071726,0.034446,-0.0065705,-0.0073225,-0.0058495,0.0081934,0.0077508,-0.0010828,0.012782,-0.00077053
"myristoylcarnitine (C14)",-0.05963,-0.051056,0.011915,0.0013518,0.10599,0.022172,-0.011016,0.017399,-0.016187,-0.013053,0.024508,-0.014585
"1-stearoyl-GPC (18:0)",0.026573,0.0011676,0.00037378,-0.013011,0.0022232,-0.00081095,0.002974,0.014069,-0.012978,0.0052127,-0.0028728,0.0010296
"1-oleoyl-GPC (18:1)",0.055361,-0.017923,0.0019524,-0.0044605,0.0038352,0.017764,0.009439,0.019149,-0.011277,0.0020144,0.013465,-0.0096662
"N-acetylthreonine",-0.0091845,-0.015656,-6.636e-05,0.0021769,-0.0028526,0.0073302,-0.019644,0.022701,-0.010351,0.0087857,-0.00033633,0.0041404
"phenylacetylglycine",0.04299,0.016235,0.069021,-0.024763,-0.027902,0.067747,0.052927,0.041439,-0.029139,-0.054651,0.01714,-0.022265
"N-acetylisoleucine",0.0095616,0.00092173,-0.0099537,-0.020614,-0.0072637,0.0060723,0.0014638,0.0039296,0.0026973,-0.04418,0.075623,0.0008579
"10-nonadecenoate (19:1n9)",0.054393,-0.039781,-0.036703,0.029092,0.015687,-0.013938,-0.0027252,-0.01993,0.0024882,-0.042815,-0.01572,-0.0052677
"10-heptadecenoate (17:1n7)",0.053832,-0.043938,-0.02802,0.030894,0.010846,-0.016076,-0.009733,-0.017716,0.022712,-0.056224,0.0057049,0.0090076
"N-acetylhistidine",0.0061793,-0.010167,0.0098335,0.011692,0.0048265,0.020082,0.034744,0.021759,0.0053583,0.019912,-0.035607,-0.0044296
"stachydrine",0.018678,-0.013869,-0.0025216,-0.071327,-0.01104,0.065577,0.097733,0.0059679,0.0065376,0.0068312,-0.091256,-0.075575
"alpha-hydroxyisovalerate",0.069089,-0.02611,0.11436,0.055372,0.013932,0.089387,-0.085216,0.00090403,0.020319,0.01569,-0.020079,0.013984
"nicotinamide riboside",-0.025834,-0.025,0.0084435,-0.025095,0.00037924,-0.007241,-0.012611,0.0040309,0.019538,0.015544,0.0067213,0.00065987
"ophthalmate",-0.0091787,0.036731,0.012574,-0.070233,-0.0046386,0.0057824,0.044401,-0.0042107,-0.020071,0.0093289,0.00022532,0.0022612
"gamma-glutamylthreonine",-0.016048,0.018116,-0.0184,0.008152,0.0086273,-0.0098336,0.028107,-0.026941,0.01684,0.0097024,-0.01582,-0.0011603
"p-cresol sulfate",0.054424,0.09647,0.11342,-0.088445,0.022806,0.052708,-0.064221,0.15646,0.0077194,-0.16926,0.12482,-0.053574
"erythronate*",0.036919,-0.0051425,0.01656,-0.0040683,0.0077271,-0.0026356,0.0039392,0.013031,0.013294,0.0023634,0.0076652,0.0068857
"eicosenoate (20:1n9 or 1n11)",0.051803,-0.049389,-0.051114,0.032498,0.011859,-0.0019386,-0.0064107,-0.014465,0.027378,-0.027804,-0.0043111,0.00623
"linolenate (18:3n3 or 3n6)",0.031915,-0.039755,-0.043268,0.047013,0.029307,0.0044311,0.0023738,-0.023665,0.023573,-0.066558,-0.0036901,-0.0020556
"aconitate [cis or trans]",0.12216,0.035075,-0.095536,-0.20249,0.076556,0.00043904,-0.15681,-0.069942,-0.31906,0.20327,-0.11109,-0.0218
"1-myristoyl-GPC (14:0)",0.037086,0.0082347,0.022014,-0.032789,-0.013461,0.00059078,-0.0026987,-0.005301,0.014789,0.0014191,0.030433,-0.00081287
"1-arachidoyl-GPC (20:0)",0.040685,-0.00303,0.034266,0.013484,-0.007714,0.04526,0.0037572,0.037681,-0.0067725,0.05362,-0.013605,-0.017148
"heme",-0.0045446,0.033298,0.065159,-0.015667,0.049692,-0.026758,-0.033164,0.020331,-0.046486,-0.00081719,-0.048204,0.008914
"stearoylcarnitine (C18)",-0.056441,-0.023519,0.024157,-0.0042414,0.041044,0.0055299,-0.028157,-0.034641,-0.0042763,0.027788,0.014359,0.0054785
"laurylcarnitine (C12)",-0.068141,-0.043042,0.012547,-0.0028985,0.074705,0.032385,-0.03034,0.0040418,-0.0090708,-0.0082819,0.0050754,-0.012219
"isovalerylcarnitine (C5)",-0.06207,-0.031241,0.017468,-0.034368,0.0017141,0.011147,-0.024279,-0.053534,-0.023752,-0.01089,-0.019742,0.005864
"1-linoleoyl-GPC (18:2)",0.041355,-0.0030542,-0.0017384,0.012693,-0.001195,0.013952,-0.0028997,0.017623,-0.0036421,0.0050529,0.011679,-0.00074483
"CDP-ethanolamine",-0.0032384,0.0091426,-0.00091835,0.00070676,0.0042093,-0.020507,-0.0038708,-0.016909,-0.0031595,-0.014003,0.026223,-0.0012358
"2-myristoylglycerol (14:0)",-0.054589,-0.0013803,-0.037903,0.028019,0.016498,-0.025916,-0.061446,-0.036319,0.033757,-0.035344,0.028254,-0.0096815
"N6-carbamoylthreonyladenosine",0.00091575,-0.0064625,-0.028303,0.012293,0.0084812,-0.0097677,-0.02643,0.023755,0.019698,-0.0051033,0.0077748,-0.0014514
"orotidine",0.027508,-0.011733,0.0072641,0.018234,-0.0031365,-0.0065818,-0.012941,0.024634,-0.010151,-0.0030935,0.0053337,0.0012058
"taurocyamine",-0.014941,-0.0049294,-0.079073,0.047956,-0.0013924,-0.025516,-0.0046169,0.034887,-0.060978,0.025934,0.016089,-0.0025567
"5,6-dihydrouridine",0.011895,0.0010105,0.04943,-0.015258,0.0029631,-0.0061874,0.019089,0.052343,-0.0065583,-0.00098058,0.0065505,-0.0023595
"1-margaroylglycerol (17:0)",-0.027747,-0.019809,-0.017879,0.054834,-0.015124,-0.083321,-0.056758,0.0061946,0.063911,0.0076314,0.092223,-0.00099033
"1-pentadecanoylglycerol (15:0)",-0.012037,0.02245,0.0032157,0.035736,0.10814,-0.03595,-0.051054,0.062109,0.037991,-0.14807,-0.026081,-0.0030883
"1-arachidonylglycerol (20:4)",-0.034075,-0.01558,-0.016888,-0.0092997,0.021523,-0.013901,-0.059107,0.01482,0.018266,-0.045259,-0.017477,0.0069396
"1-linolenoylglycerol (18:3)",-0.040585,-0.013746,-0.021509,0.0089374,0.019879,-0.018135,-0.04015,-0.014112,0.014186,-0.027996,0.031094,-0.0060222
"cysteine-glutathione disulfide",0.015674,-0.050289,-0.014347,-0.0096982,0.022157,-0.036719,0.00078877,0.0085774,-0.024529,0.00081564,-0.0049761,-0.0049612
"5-methyluridine (ribothymidine)",0.039005,0.0080256,-0.037365,-0.025377,-0.0045444,-0.034696,0.020775,-0.021183,-0.059124,0.034501,0.058046,-0.0088021
"3'-AMP",0.040897,-0.019782,0.00012085,-0.025027,0.003008,0.013451,-0.024687,0.032548,0.048851,-0.0001373,0.015176,-0.0025991
"isovalerylglycine",0.019516,-0.043303,0.029787,0.05217,-0.018767,0.014726,0.018464,-0.019242,0.054103,-0.012815,0.042879,-0.0070834
"7-methylguanine",-0.0021549,0.0046053,0.014729,0.0041422,-0.016368,-0.037928,0.027766,0.026365,-0.01275,-0.045862,0.026954,-0.00070857
"1-stearoyl-GPE (18:0)",0.065839,-0.01809,-0.0096199,-0.022384,-0.0021759,-0.012412,0.011217,0.024905,-0.002453,0.0040671,0.024291,-0.007832
"1-stearoyl-GPG (18:0)",0.051074,-0.042726,-0.022569,0.0082227,0.015597,-0.034319,-0.022871,-0.021555,-0.015605,-0.0087392,-0.0084452,0.010312
"N1-methyl-2-pyridone-5-carboxamide",-0.022005,0.0085466,0.044904,0.0011612,0.025435,-0.025405,0.043476,-0.00039843,-0.021206,-0.055558,-0.01784,-0.0096262
"N1-methyl-4-pyridone-3-carboxamide",0.0074068,0.0062392,0.053878,-0.00023638,0.034273,-0.007434,0.038864,0.016291,-0.0032418,-0.065245,-0.020724,0.012031
"mead acid (20:3n9)",0.055047,-0.044077,-0.00051141,-0.0039485,0.02148,-0.015444,-0.0057402,-0.05093,0.0083224,0.0072308,-0.01169,-0.00042039
"1-docosahexaenoylglycerol (22:6)",-0.033175,-0.015222,-0.00037517,-0.032007,0.0092402,-0.030195,-0.020611,-0.037992,0.077119,-0.027037,-0.018225,-0.0035107
"1-dihomo-linoleoylglycerol (20:2)",-0.034068,0.00033503,-0.03497,0.020869,0.025634,-0.022709,-0.0052315,-0.044605,0.0080201,-0.047502,-0.021074,-0.0066013
"gamma-glutamylisoleucine*",0.009905,-0.014952,0.030286,0.019604,0.024835,0.0070701,0.01084,0.0037406,-0.026778,-0.013456,-0.025802,-0.0049094
"N-glycolylneuraminate",0.0033557,-0.014157,0.031035,0.0077997,0.013659,0.051141,-0.012683,0.015581,-0.020538,-0.01539,-0.020746,0.0001147
"pantetheine",0.00096481,-0.0021975,-0.025191,-0.01021,-0.024962,0.031671,-0.028053,0.035466,0.033191,-0.006154,0.019009,-0.0021297
"oleoylcarnitine (C18:1)",-0.045466,-0.046903,0.02365,0.011219,0.083708,0.033054,-0.012222,0.022735,-0.016272,-0.026585,-0.0084712,0.028932
"4-hydroxybutyrate (GHB)",0.036575,0.017932,0.025656,-0.0057452,-0.072555,0.0060372,0.038943,-0.068297,0.09104,-0.026653,0.049755,-0.011662
"2-methylbutyrylcarnitine (C5)",-0.021712,-0.039329,0.011241,0.0088147,0.018435,0.0096999,0.038374,-0.063865,0.0075398,0.034408,-0.0074925,-0.0050231
"phenol sulfate",0.077257,0.044618,0.10665,-0.012649,-0.018516,0.10447,0.11894,0.0055079,0.088167,0.14263,-0.045316,-0.016323
"1-palmitoleoyl-GPC (16:1)*",0.047551,0.0003563,0.019526,-0.032725,0.0038277,0.0093827,-0.0060452,0.0092522,-0.0087516,-0.019883,0.012095,-0.0058483
"malonylcarnitine",-0.0015803,-0.019065,0.030648,-0.029977,0.012815,0.01787,-0.011007,-0.039147,-0.0071313,0.0084746,0.011915,0.0039795
"hexanoylglycine (C6)",0.011547,-0.031149,0.05196,0.0028135,-0.061699,-0.052999,0.020505,0.0049719,0.034337,0.0067317,0.060945,0.0068077
"glutamine_degradant*",0.019034,0.20021,0.24375,0.20482,0.21095,-0.15873,0.0020506,0.079203,0.10096,0.16518,-0.0029366,0.039292
"2-hydroxy-3-methylvalerate",0.068368,-0.0037897,0.10017,0.0259,0.012952,0.11529,-0.08147,0.0077049,0.058225,0.047722,-0.054553,0.020768
"homostachydrine*",-0.0038675,0.00011866,0.0038575,-0.018313,0.0055115,-0.0026167,0.0019373,0.015474,-0.0051419,-0.0038833,-0.021638,-0.12642
"1-arachidonoyl-GPC (20:4n6)*",0.041257,-0.035984,-0.021227,0.025765,0.02639,-0.011681,-0.043663,-0.018571,0.017804,-0.019267,0.0055369,-0.0066677
"1-dihomo-linolenoyl-GPC (20:3n3 or 6)*",0.057211,-0.05513,0.050726,0.062482,0.02639,0.029668,-0.041247,-0.046883,-0.12683,0.0536,0.079209,-0.015872
"1-eicosadienoyl-GPC* (20:2)*",0.057648,-0.042979,0.036911,-0.070273,-0.034115,0.044213,0.07893,-0.0065949,0.0071813,0.013333,-0.077979,-0.0039107
"2-palmitoleoyl-GPC (16:1)*",-0.0082771,-0.0058555,0.0057836,0.04769,-0.036556,0.040123,-0.022995,0.023564,0.028707,0.043177,-0.0056789,-0.0032678
"2-palmitoyl-GPC (16:0)*",0.028288,-0.026633,-0.0050439,0.015749,0.032218,-0.0097226,-0.018052,-0.038901,-0.011602,-0.026939,0.0069052,0.0015827
"2-myristoyl-GPC (14:0)*",-0.012953,0.028335,0.023817,-0.0075138,-0.05196,0.047662,0.019098,0.017715,-0.0005035,0.029569,0.059235,-0.0083822
"1-docosahexaenoyl-GPC (22:6)*",0.043224,-0.040258,-0.0040964,-0.013225,0.047887,-0.023607,-0.013487,-0.040965,0.029977,-0.044779,0.0054071,-0.00056515
"1-palmitoyl-GPE (16:0)",0.057041,-0.0086903,-0.0021286,-0.021507,-0.0077452,-0.0058774,0.035001,0.0081238,-0.0052988,0.013658,0.01833,-0.0021717
"1-oleoyl-GPE (18:1)",0.062774,-0.022174,-0.015425,-0.0024372,-0.005886,0.0018746,0.0054998,0.027946,-0.0088555,0.0050943,0.021422,-0.010018
"1-linoleoyl-GPE (18:2)*",0.058507,-0.017725,-0.018249,0.0081966,-0.017023,0.015703,0.0035634,0.04385,-0.021217,0.004829,0.035309,0.00088896
"1-arachidonoyl-GPE (20:4n6)*",0.040961,-0.03771,-0.02957,0.023171,0.012605,-0.00069287,-0.047779,0.0058692,0.02418,-0.0098311,-0.0078512,-0.0015606
"docosapentaenoate (n6 DPA; 22:5n6)",0.070342,-0.038075,0.012072,-0.014447,0.026881,-0.02216,-0.012782,-0.076916,0.047317,0.004661,-0.032047,-0.0055967
"gulonate*",0.0048838,-0.024872,0.0087082,0.0050151,-0.0072184,-0.025842,-0.010382,0.0023745,0.0015918,0.015586,-0.00032118,0.004059
"beta-hydroxyisovaleroylcarnitine",-0.002612,-0.0010221,0.0041625,-0.0024857,0.011728,-0.004056,0.02153,-0.051447,0.0013741,0.01964,0.0059652,-0.0041077
"2-methylmalonylcarnitine (C4-DC)",-0.0088183,0.0071841,-0.0032334,-0.0066043,-0.0081956,0.02233,-0.0047502,-0.0035423,0.0093434,-0.0028511,0.0031369,-0.00020446
"tiglyl carnitine (C5)",-0.018084,-0.020112,-0.01728,-0.0168,-0.0040432,0.011393,0.037401,-0.10049,0.037936,0.025541,-0.02062,-0.0061181
"catechol sulfate",0.0019081,0.016253,0.017348,0.010497,0.0048618,0.0093168,-0.012163,-0.0029434,0.014819,0.016463,-0.015348,-0.045949
"cholesterol sulfate",0.013005,0.0074797,-0.0080957,0.025396,-0.001387,0.00097904,-0.015696,0.028185,-0.01659,0.017524,0.013548,0.00023866
"7-HOCA",-0.04324,0.0068931,-0.063527,-0.0694,0.0046515,-0.037536,0.011371,-0.0036749,0.010539,0.0068146,0.012274,0.0070202
"N-acetyl-aspartyl-glutamate (NAAG)",0.076348,-0.046742,0.061158,0.054689,0.0069747,-0.050991,-0.0057722,0.022764,-0.026266,0.021848,-0.0038602,0.0077474
"tetradecanedioate (C14)",0.018752,-0.013108,-0.02117,-0.0061174,0.013691,0.026359,-0.01338,-0.030341,0.058881,0.0050869,-0.0090295,0.00017206
"hexadecanedioate (C16)",-0.010951,-0.0026892,-0.04351,0.033949,0.0014012,0.031579,-0.0063132,-0.015116,-0.00051862,0.012813,0.016431,-0.015302
"1-myristoylglycerol (14:0)",-0.018574,-0.024318,-0.023782,0.011875,0.043513,-0.037659,-0.03048,-0.01139,-0.0027314,-0.058747,0.021724,0.007749
"glycerophosphoglycerol",-0.018141,0.007619,-0.014083,-0.0069868,-0.042377,-0.016579,0.018279,0.021716,0.01014,0.01294,-0.011682,3.0927e-05
"glycerophosphoethanolamine",-0.021885,0.012019,-0.009142,-0.00083526,-0.031327,-0.015635,0.021691,0.015598,0.00602,0.015312,-0.001864,-0.0029768
"glycerophosphoinositol*",0.016305,-0.011507,-0.010905,-0.010587,-0.052179,0.016147,-0.020151,0.051492,0.020926,-0.039519,-0.029474,0.0057186
"sedoheptulose-7-phosphate",0.081151,0.011228,0.0012095,0.015017,0.0060466,-0.017746,-0.0085096,0.0079908,0.018909,0.012201,0.009695,0.00037359
"1-arachidonoyl-GPI (20:4)*",0.04203,-0.021458,-0.026979,0.0048326,0.0054883,-0.011456,-0.021057,0.0012287,0.0045714,-0.028472,-0.021245,0.0081539
"1-palmitoyl-GPI (16:0)",0.040034,-0.0051026,-0.0065031,-0.025248,0.03009,-0.019779,-0.002386,-0.04562,0.019087,-0.037057,0.0019766,-0.0074473
"deoxycarnitine",0.0085162,0.009704,-0.0018488,-0.016422,-0.012715,-0.0012316,0.0052287,0.014668,0.0046759,0.0022728,0.016573,0.0049049
"N6-succinyladenosine",-0.025236,-0.0088482,-0.026971,-0.013246,-0.012058,0.005281,0.00027181,-0.028712,0.028562,0.0021553,0.036895,-0.0029137
"1-ribosyl-imidazoleacetate*",0.01119,-0.037873,0.049131,0.053802,-0.010232,0.0069428,0.027152,0.029711,-0.03436,-0.034813,0.0011355,-0.0025555
"2'-AMP",0.12675,-0.052254,-0.010684,-0.070395,0.0049602,0.05177,0.030687,-0.0090428,-0.00060513,0.11903,0.021682,0.0050864
"3,4-dihydroxybutyrate",0.080149,0.085877,-0.073835,0.022656,0.017177,-0.040332,-0.071692,-0.014802,0.098173,0.040727,0.047155,0.017462
"N6-acetyllysine",8.0779e-05,0.010766,0.014454,-0.012892,0.0079933,-0.0073366,0.008574,-0.0048001,-0.043566,0.0062406,0.022631,-0.0053874
"dihomolinolenate (20:3n3 or 3n6)",0.067216,-0.047004,-0.02042,0.017057,0.00089494,-0.010834,-0.011777,-0.032106,0.043542,-0.027005,-0.042545,-0.0082714
"mannitol/sorbitol",0.022429,0.0084373,0.010229,-0.027036,-0.003842,-0.00685,0.0047293,-0.011036,0.018101,0.01484,0.0044822,-0.0015541
"N6-carboxymethyllysine",-0.0099974,0.021202,-0.036893,-0.0079172,-0.0050072,-0.024045,-0.0014688,0.0067205,0.023392,-0.00061686,0.0075098,-0.020275
"1-oleoyl-GPI (18:1)",0.048005,-0.0075622,-0.019552,-0.031198,0.0088613,-0.016546,-0.020296,-0.047067,0.0016787,-0.028755,0.01302,0.0034688
"1-linoleoyl-GPI* (18:2)*",0.047029,-0.019524,-0.028323,0.0059227,0.0031235,-0.015422,-0.0055118,-0.0075398,-6.3719e-06,-0.040579,-0.0066309,0.0063578
"1-palmitoleoyl-GPE (16:1)*",0.043035,-0.010077,-0.010422,-0.014132,-0.010847,-0.02681,0.0017152,0.03037,-0.019763,0.024869,0.030197,-0.003153
"1-palmitoleoyl-GPI (16:1)*",0.031827,-0.017009,0.00038447,0.0060854,0.014955,-0.0076757,-0.026854,0.0040241,0.01552,-0.026743,-0.00044253,0.0020395
"methylphosphate",-0.0023333,0.015559,-0.012563,-0.010838,-0.0092351,-0.0035325,-0.01627,0.0014333,0.009755,-0.010998,0.023049,-0.0013691
"dimethylarginine (ADMA + SDMA)",0.016764,0.0059013,0.0060333,-0.014079,-0.0016721,-0.015356,0.02302,0.017753,-0.00081863,-0.0040031,-0.010705,0.002357
"N-acetylserine",0.021646,0.0042881,0.020924,0.011718,-0.03313,-0.030099,-0.037658,-0.029927,-0.016457,0.038084,0.06488,-0.0036552
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)",0.0043162,-0.0067668,0.00028897,0.020742,0.021077,0.019114,0.015152,-0.01508,-0.015213,-0.00082169,-0.010991,-0.00057297
"1-stearoyl-2-oleoyl-GPG (18:0/18:1)",-0.0049519,-0.0053767,0.0066865,-0.010949,0.013459,-0.010133,0.012298,0.0012279,-0.0073556,-0.0053478,0.010154,0.0035342
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",0.0033328,0.0014126,-0.0070094,0.0084583,-0.00012174,0.0025587,-0.0051624,-0.0078449,0.0035503,0.0089943,-0.0005053,0.0083808
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",0.013366,0.0013077,-0.014795,0.02398,-0.028465,0.010253,0.014959,0.021951,-0.042316,-0.0043255,0.013392,-0.0051195
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",0.00073437,0.004943,0.016794,-0.021078,0.014481,-0.001005,-0.0024109,0.0063951,0.0046028,0.0021983,-0.01371,0.0013554
"1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*",-0.010917,0.006179,0.009784,-0.01733,0.015342,0.00021138,0.0062152,0.00093012,-0.0018067,-0.010918,0.002484,0.0030369
"succinylcarnitine (C4-DC)",-0.052858,-0.053869,-0.17848,0.22061,-0.073719,0.060959,0.048833,0.18829,-0.072001,-0.084006,-0.13911,0.0066162
"1-docosahexaenoyl-GPE (22:6)*",0.031563,-0.011609,-0.0032587,-0.021182,0.012605,-0.03133,0.0059658,0.011348,0.0316,-0.0024513,0.008614,-0.0039256
"2-hydroxyglutarate",0.0082533,-0.0005039,0.0024596,-0.019842,-0.0067537,-0.012939,0.0025778,-0.0036248,-0.01418,-0.0055543,-0.00030769,0.00017022
"O-methyltyrosine",-0.017591,0.021567,-0.012209,0.0093041,-0.013339,0.011494,0.0036641,-0.021472,0.0019146,0.012708,-0.0098657,0.001665
"N-acetyl-beta-alanine",0.012693,-0.015322,-0.0019257,-0.0010676,0.019377,0.01061,0.0013114,0.0045926,-0.0018888,-0.0023721,0.02707,0.0018003
"sphingomyelin (d18:1/18:1, d18:2/18:0)",-0.011434,0.002722,0.0043057,-0.018943,0.0006951,-0.00019916,-0.00018127,-0.022003,-0.00064312,-0.010649,-0.010549,-0.0064009
"palmitoyl sphingomyelin (d18:1/16:0)",-0.00091809,0.0038734,-0.00084624,-0.009365,-0.00034608,0.0063992,0.0078222,-0.0040547,0.0043327,7.1694e-05,-0.0033908,0.00014242
"ergothioneine",-0.0049711,-0.094384,-0.011244,0.099755,-0.016606,-0.011552,-0.05419,0.005497,0.017344,0.037372,-0.057498,-0.051038
"12-HETE",0.11899,-0.01577,0.019751,-0.0097349,0.018665,-0.069363,-0.042146,0.037272,-0.0026989,-0.051395,-0.1208,0.021243
"1-margaroyl-GPE (17:0)*",0.07319,-0.021775,-0.01898,-0.022712,0.026198,-0.004794,0.024132,0.016821,0.023963,-0.022049,0.029431,0.013562
"1-pentadecanoyl-GPC (15:0)*",0.043875,0.016232,0.0029941,-0.019323,-0.017937,0.056638,-0.019525,-0.0077709,0.019271,0.033812,-0.0039429,0.024678
"Isobar: hexose diphosphates",0.097007,0.18159,-0.061412,0.015573,-0.055494,-0.0071758,-0.03261,-0.012906,-0.01538,-0.016199,0.026442,-0.010196
"13-HODE + 9-HODE",0.044262,-0.047722,-0.034565,0.0052077,0.016302,0.015322,0.067111,-0.006976,0.08376,0.026571,0.054415,-0.01658
"4-cholesten-3-one",-0.00092906,0.012295,-0.035315,-0.01041,0.0081265,0.016898,0.015182,-0.00096507,0.0011001,-0.0081743,0.0048349,0.0001067
"stearoyl ethanolamide",0.011492,0.0076419,-0.018685,-0.024863,-0.011777,-0.018968,0.006971,-0.0044748,0.0039703,-0.00072142,0.030628,0.0020956
"cis-4-decenoylcarnitine (C10:1)",-0.048963,0.05213,0.021471,-0.10047,0.063789,0.042734,-0.041955,-0.10303,-0.018904,0.084634,0.035086,0.015611
"2S,3R-dihydroxybutyrate",0.054162,-0.010312,0.12387,0.0093736,0.015227,0.052659,-0.076981,0.05457,0.0015089,-0.048141,-0.063059,0.015983
"2,4-dihydroxybutyrate",0.036329,-0.032184,0.082067,0.039545,0.021015,0.064215,-0.057043,0.014596,-0.032799,-0.014051,0.0044009,-0.0028317
"(16 or 17)-methylstearate (a19:0 or i19:0)",0.046044,-0.035934,-0.059345,0.044549,0.010686,-0.012438,-0.014438,-0.0028345,0.03605,0.0028062,0.031386,-0.00056196
"2R,3R-dihydroxybutyrate",0.035879,0.020013,0.072927,-0.010227,0.017614,0.040678,-0.045249,0.034783,0.0052288,0.0031193,0.012534,-0.0088003
"2,3-dihydroxyisovalerate",0.037799,0.0062006,0.02494,0.017251,0.010698,0.040789,0.012268,0.009505,-0.002333,-0.00035705,-0.029835,-0.0078718
"3-methylglutaconate",0.0012946,0.0049988,-0.039873,-0.0032382,-0.0053671,0.01067,-0.009968,0.022011,0.053792,0.027598,-0.085315,0.010066
"5-(galactosylhydroxy)-lysine",0.013992,-0.0055472,0.0012655,0.0032323,-0.0081799,-0.016097,0.0062226,0.0052768,0.010943,0.00079372,0.015668,0.00011915
"2-arachidonoyl-GPI (20:4)*",0.031496,-0.02285,-0.04114,0.013302,0.00078598,-0.023274,-0.023306,-0.018901,-0.0015694,-0.018836,-0.021518,0.0065271
"formiminoglutamate",-0.039244,-0.0062778,-0.0032191,-0.0049397,-0.014332,-0.071113,0.13324,-0.045062,0.083453,-0.085648,-0.063671,-0.00702
"sulfate*",0.0049101,-0.0067422,0.0089466,0.0018534,0.0007309,0.012083,0.017063,0.024329,-0.0056514,-0.012738,-0.022239,0.0030664
"4-hydroxyglutamate",0.0073744,0.021868,0.049853,-0.034918,-0.027315,-0.060341,-0.039652,0.029803,0.03443,-0.031748,-0.13304,0.011694
"sedoheptulose",0.073881,0.034885,-0.036666,0.0005519,-0.0026074,0.020444,-0.065551,0.013299,0.0070597,-0.049033,0.021557,0.0026928
"S-methylcysteine",0.0093632,0.0044914,0.030586,-0.081039,0.029403,0.015492,0.018842,0.022695,-0.015756,-0.0066535,-0.013526,0.012465
"nicotinamide N-oxide",0.0063607,-0.05448,0.044745,0.043828,0.03706,-0.0005709,-0.024539,0.0029028,0.020871,-0.016099,9.2327e-05,0.0010767
"2-oxoarginine*",-0.0018616,-0.015548,0.015466,0.0024259,-0.024389,-0.01932,0.0016636,0.0099825,0.005808,-0.0060424,-0.010422,-0.0030605
"1-behenoyl-GPC (22:0)",0.015585,0.0059057,-0.023359,-0.0041653,-0.0069079,0.012061,-0.0084639,0.028928,0.021885,0.052304,0.047068,-0.0099275
"1-adrenoyl-GPC (22:4)*",-0.09583,-0.0017378,-0.0043731,0.068211,-0.032427,0.055411,-0.026511,0.003002,0.007307,-0.029038,-0.048934,-0.018795
"1-lignoceroyl-GPC (24:0)",-0.0021544,0.0024777,-0.0023009,0.014168,0.015494,-0.010549,-0.01434,0.0066971,0.0247,-0.0096804,-0.0025902,0.017492
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*",0.063618,-0.014266,0.012092,-0.045696,0.016241,0.00759,0.00087026,0.0034364,0.021815,0.001737,0.02956,-0.0026258
"1-methyl-5-imidazoleacetate",0.026326,-0.00089643,0.065609,-0.0033813,-0.050003,0.063989,-0.040617,0.080547,0.080341,0.012399,0.024258,-0.0023138
"tauroursodeoxycholate",-0.0046747,-0.060413,0.062987,0.048553,-0.091642,-0.018951,0.027294,0.022234,-0.033579,-0.050092,-0.012916,-0.0024255
"(14 or 15)-methylpalmitate (a17:0 or i17:0)",0.039166,-0.037725,-0.051719,0.061925,0.025532,0.0054273,-0.0064677,-0.047241,0.032109,-0.016233,-0.0086312,-0.003068
